Jahr;C;G;I;Verfuegbares Gueter- und Leistungsvolumen;Exports (iwS);Imports (iwS);BNP;BNP-Wachstum;C_preis;G_preis;I_preis;Verfuegbares Gueter- und Leistungsvolumen_preis;Exports (iwS)_preis;Imports (iwS)_preis;BNP_preis;BNP-Preis-Wachstum
1913;1000;1000;1000;1000;1000;1000;1000;;1000;1000;1000;1000;1000;1000;1000;
1920;;;;;;;664;;;;;;;;;
1921;;;;;;;735;107;;;;;;;;
1922;;;;;;;801;90;;;;;;;;
1923;;;;;;;793;-11;;;;;;;;
1924;994;862;426;978;756;1176;885;111;1419;1259;1624;1530;2015;1959;1489;
1925;1052;930;531;1002;821;1066;945;68;1453;1357;1748;1566;1836;1838;1551;42
1926;1069;965;603;1036;767;1086;961;16;1460;1385;1750;1516;1836;1731;1523;-18
1927;1109;1029;572;1063;871;1194;990;31;1482;1430;1719;1584;1839;1756;1597;49
1928;1159;1099;704;1115;917;1270;1036;46;1512;1493;1781;1578;1951;1747;1694;4
1929;1174;1128;774;1154;863;1314;1051;15;1566;1527;1809;1589;2020;1795;1637;21
1930;1148;1148;605;1117;773;1170;1022;-28;1581;1551;1752;1550;1956;1612;1611;-16
1931;1125;1136;553;1044;653;1089;941;-80;1517;1539;1749;1493;1767;1399;1569;-26
1932;1001;1078;370;923;484;784;843;-103;1540;1495;1738;1510;1626;1298;1612;27
1933;958;1044;312;884;470;718;815;-33;1500;1476;1670;1484;1577;1206;1575;-23
1934;933;1044;319;890;482;727;822;8;1479;1472;1651;1463;1575;1198;1555;-13
1935;944;1073;385;906;505;749;838;20;1477;1452;1636;1461;1598;1211;1553;-1
1936;946;1132;441;927;522;748;863;29;1481;1443;1626;1448;1651;1245;1538;-10
1937;969;1232;490;953;655;802;909;54;1472;1439;1622;1462;1650;1321;1538;0
1946;;;;;;;584;;;;;;;;;
1947;;;;;;;644;105;;;;;;;;
1948;812;1423;678;912;301;610;821;272;543;365;653;533;487;407;565;
1949;934;1487;931;1106;388;8313;975;189;589;449;735;580;618;515;613;85
1950;1002;1515;1164;1176;555;817;1096;124;652;543;837;665;852;779;679;108
1951;1037;1595;1408;1265;593;901;1172;69;817;748;1024;841;1159;1117;845;244
1952;1062;1610;1378;1218;61;730;1175;3;924;877;1202;949;1277;1116;977;156
1953;1141;1642;1202;1214;819;755;1222;39;887;912;1311;951;1209;1146;967;-11
1954;1215;1724;1502;1348;975;1035;1326;86;924;946;1323;984;1228;1153;1001;36
1955;1347;1664;1975;1551;1052;1315;1473;111;937;1050;1349;1007;1312;1150;1040;39
1956;1427;1662;1906;1572;1305;1316;1549;51;955;1182;1423;1052;1356;1201;1085;43
1957;1494;1804;2078;1672;1460;1563;1640;59;983;1297;1470;1099;1406;1244;1135;47
1958;1553;1876;2124;1741;1451;1558;1707;41;997;1309;1496;1096;1379;1180;1140;4
1959;1633;1905;2256;1818;1581;1802;1755;28;1008;1346;1522;1115;1346;1150;1163;20
1960;1736;1926;2602;2018;1755;2178;1902;83;1030;1416;1568;1153;1380;1175;1207;38
1961;1822;1942;2888;2098;1883;2214;1990;47;1071;1523;1675;1210;1399;1181;1269;52
1962;1920;1980;2863;2116;2036;2388;2022;16;1113;1610;1726;1252;1410;1189;1314;35
1963;2015;2091;2931;2217;2218;2622;2119;44;1150;1717;1798;1286;1423;1209;1350;27
