Jahr;Bevoelkerung;Erwerbstaetige (in 1000); Arbeitnehmer (in 1000);Arbeitslose (in 1000);BNP pro Einwohner;BNP pro Erwerbstaetigen;Volks- einkommen je Einwohner;Pro-Kopf Einkommen d Arbeitnehmer pro Monat;BNP pro Einwohner real vs 1913;BNP pro Einwohner real vs 1937 ;BNP pro Erwerbstaetigen real vs 1913;BNP pro Erwerbstaetigen real vs 1937;Pro-Kopf-Einkommen je Arbeitnehmer real vs 1913;Pro-Kopf-Einkommen je Arbeitnehmer real vs 1937;Masseneinkommen (Netto) real vs 1913;Masseneinkommen (Netto) real 1937
1913;6767;3470;2190;70;1038;2026;892;110;1000;1098;1000;928;1000;871;1000;991
1924;6562;3298;2052;188;1411;2807;1174;166;913;1002;931;864;1060;923;1035;1026
1925;6582;3263;2010;220;1564;3155;1300;182;965;1067;1004;932;1138;990;1092;1083
1926;6603;3235;1976;244;1557;3179;1284;186;978;1081;1030;955;1156;1005;1113;1103
1927;6623;3260;1993;217;1677;3408;1389;195;1005;1111;1053;977;1192;1037;1160;1150
1928;6643;3294;2017;183;1758;3545;1451;207;1049;1159;1091;1012;1243;1082;1219;1208
1929;6664;3282;1998;192;1814;3683;1493;218;1067;1171;1110;1060;1261;1099;1229;1218
1930;6684;3221;1937;243;1730;3589;1416;220;1028;1136;1100;1021;1262;1098;1209;1198
1931;6705;3111;1836;334;1545;3330;1261;213;942;1041;1048;972;1273;1107;1177;1167
1932;6725;2959;1692;468;1420;3227;1123;201;843;931;988;917;1183;1029;1042;1033
1933;6745;2852;1593;557;1337;3163;1056;193;817;897;990.0;918;1166;1016;993;984
1934;6755;2845;1596;545;1329;3156;1054;186;818;904;1002;929;1143;995;972;964
1935;6761;2874;1626;515;1352;3180;1071;186;833;921;1012;938;1143;994;984;975
1936;6758;2874;1626;515;1379;3243;1087;186;858;948;1041;966;1140;991;981;972
1937;6755;2925;1677;464;1454;3358;1160;186;911;1000;1078;1000;1149;1000;1009;1000
1948;6953;3270;2060;55;4680;9950;3960;572;793;876;870;807.;955;832;942;933
1949;6943;3235;2030;100;6050;12980;5040;725;945;1044;1046;970;1119;973;1090;1080
1950;6935;3216;2015;129;7540;16270;6120;864;1070;1114;1183;1097;1202;1048;1172;1161
1951;6934;3230;2049;118;10040;21550;8200;1193;1144;1255;1260;1168;1318;1147;1292;1281
1952;6949;3192;2011;158;11610;25270;9260;1396;1155;1267;1278;1186;1360;1183;1346;1334
1953;6959;3167;1983;185;11920;26200;9260;1447;1188;1304;1338;1240;1463;1273;1445;1432
1954;6969;3189;2034;165;13380;29240;10470;1564;1288;1414;1442;1338.;1521;1323;1561;1547
1955;6974;3234;2133;122;15430;33280;12090;1689;1430;1570;1580;1465;1616;1406;1728;1713
1956;6984;3238;2185;120;16900;36450;13240;1856;1501;1648;1660;1539;1743;1516.;1905;1888
1957;6998;3248;2234;113;18690;40280;14630;2004;1587;1742;1752;1624;1829;1591;2055;2037
1958;7015;3239;2246;124;19480;42200;15220;2078;1648;1809;1830;1697.;1862;1620;2150;2131
1959;7036;3252;2273;113;20370;44070;15740;2183;1689;1854;1873;1737;1934;1683;2264;2243
1960;7057;3279;2310;88;22850;49190;17720;2349;1824;2002.;2012;1866;2033;1769;2397;2376
1961;7087;3301;2341;69;25040;53760;19290;2585;1901;2087;2094.;1941;2150;1871.;2563;2540
1962;7130;3296;2353;66;26180;56640;20060;2820;1920;2107;2128;1973;2255;1962;2738;2712
1963;7172;3281;2350;72;27890;60970;21280;3046;1991.;2186;2231;2070;2355;2050;2877;2852
